Name;gender;phoneNumber;email;address;librarianID;shift;salary;password
Nguyen Van A;Male;0901234567;a@gmail.com;123 Nguyen Trai, Dong Da, Ha Noi;L001;Morning;8000000.0;123
Tran Thi B;Female;0902345678;b@gmail.com;45 Le Duan, Hai Chau, Da Nang;L002;Evening;8200000.0;abcd
Le Van C;Male;0903456789;c@gmail.com;78 Nguyen Hue, Phu Hoi, Hue;L003;Morning;7800000.0;pass1
Pham Thi D;Female;0904567890;d@gmail.com;56 Tran Hung Dao, District 1, Ho Chi Minh City;L008;Night;15000.0;pass2
Hoang Minh E;Male;0905678901;e@gmail.com;89 Lach Tray, Ngo Quyen, Hai Phong;L004;Morning;8100000.0;minh123
Do Thi F;Female;0906789012;f@gmail.com;102 Tran Phu, Loc Tho, Nha Trang;L005;Evening;8300000.0;fpass
Vo Van G;Male;0907890123;g@gmail.com;67 Nguyen Van Cu, Ninh Kieu, Can Tho;L006;Morning;7950000.0;gvo123
Nguyen Thi H;Female;0908901234;h@gmail.com;22 Hai Ba Trung, Ward 1, Da Lat;L007;Evening;8500000.0;hthi
Phan Van I;Male;0909012345;i@gmail.com;34 Le Loi, District 3, Ho Chi Minh City;L009;Night;8700000.0;i12345
Bui Thi J;Female;0910123456;j@gmail.com;90 Kim Ma, Ba Dinh, Ha Noi;L010;Morning;8000000.0;jpass
Tran Quoc K;Male;0911234567;k@gmail.com;77 Nguyen Van Linh, Hai Chau, Da Nang;L011;Evening;8150000.0;k321
Le Thi L;Female;0912345678;l@gmail.com;18 Hung Vuong, Phu Nhuan, Hue;L012;Morning;8250000.0;lxyz
Nguyen Van M;Male;0913456789;m@gmail.com;245 Tran Quoc Toan, Dong Da, Ha Noi;L013;Night;8400000.0;mva123
Pham Thi N;Female;0914567890;n@gmail.com;12 Cach Mang Thang 8, Ninh Kieu, Can Tho;L014;Morning;8600000.0;npass
